"CLIENT_ID";"NAME";"CATEGORY"
1;"ИП Шолохов";"Малый бизнес"
2;"ООО Звездочка";"Средний бизнес"
3;"АО Шарапова, Федосеев и Макаров";"Средний бизнес"
4;"РАО Захаров, Чернов и Большакова";"Малый бизнес"
5;"Панфилова Лтд";"Средний бизнес"
6;"ООО Жукова";"Средний бизнес"
7;"ООО Киселева Боброва";"Малый бизнес"
8;"НПО Шашкова-Кононова";"Средний бизнес"
9;"АО Мельников";"Малый бизнес"
10;"ИП Жукова Логинов";"Малый бизнес"
11;"ООО Ильин";"Малый бизнес"
12;"ООО Копылова Исакова";"Средний бизнес"
13;"ООО Антонова Туров";"Малый бизнес"
14;"Шарова Лтд";"Средний бизнес"
15;"ОАО Родионов-Шубина";"Средний бизнес"
16;"ЗАО Гуляев, Калинина и Щербакова";"Средний бизнес"
17;"ОАО Суханов";"Средний бизнес"
18;"ОАО Лыткин";"Малый бизнес"
19;"ООО Комаров, Григорьева и Дмитриев";"Средний бизнес"
20;"Сибуглемет";"Малый бизнес"
21;"НПО Абрамов Ершов";"Малый бизнес"
22;"КМР и СНГ (KIA)";"Средний бизнес"
23;"ООО Комиссарова";"Малый бизнес"
24;"Охрана Росгвардии";"Средний бизнес"
25;"РАО Доронина Киселев";"Средний бизнес"
26;"РАО Киселев, Рожков и Богданова";"Средний бизнес"
27;"РАО Блохин, Артемьева и Федоров";"Малый бизнес"
28;"ЗАО Борисов-Лебедева";"Малый бизнес"
29;"ООО Исаева Давыдова";"Малый бизнес"
30;"Иркутская нефтяная компания";"Средний бизнес"
31;"НПО Михайлова, Николаев и Одинцова";"Средний бизнес"
32;"Наумова и партнеры";"Малый бизнес"
33;"ОАО Новиков, Степанова и Воронцова";"Средний бизнес"
34;"АО Савина";"Малый бизнес"
35;"Кузнецов Лимитед";"Средний бизнес"
36;"Европа";"Средний бизнес"
37;"РАО Моисеева Тетерин";"Средний бизнес"
38;"АО Котова, Пахомова и Пахомова";"Средний бизнес"
39;"ИП Федосеева, Ефимова и Шарова";"Средний бизнес"
40;"ИП Пономарев-Нестеров";"Малый бизнес"
41;"Сибур Холдинг";"Средний бизнес"
42;"АО Карпова, Коновалов и Пономарев";"Средний бизнес"
43;"НПО Тихонова-Герасимов";"Средний бизнес"
44;"ЗАО Борисов, Лаврентьева и Васильев";"Малый бизнес"
45;"ЗАО Сысоев Зайцев";"Средний бизнес"
46;"ООО Фадеев-Мельникова";"Малый бизнес"
47;"ОАО Никифоров-Анисимова";"Средний бизнес"
48;"РАО Артемьев-Ершов";"Малый бизнес"
49;"Никонова Инк";"Средний бизнес"
50;"Сатурн-Р";"Малый бизнес"
51;"ИП Горбачев, Медведева и Галкин";"Малый бизнес"
52;"Таграс (ТНГ-Групп)";"Средний бизнес"
53;"АО Лихачева Кулагин";"Малый бизнес"
54;"Наумова Лтд";"Малый бизнес"
55;"ОАО Наумов, Виноградов и Нестеров";"Средний бизнес"
56;"Горшков Лимитед";"Малый бизнес"
57;"Emex";"Средний бизнес"
58;"ОАО Крюков Зимина";"Малый бизнес"
59;"НПО Кузьмина Данилов";"Малый бизнес"
60;"ОАО Пономарев-Мельников";"Средний бизнес"
61;"АО Фокин, Исакова и Белозерова";"Малый бизнес"
62;"ОАО Быков, Шубина и Беляева";"Малый бизнес"
63;"РАО Красильников, Горбачева и Сергеев";"Средний бизнес"
64;"НПО Ларионов, Князева и Казаков";"Средний бизнес"
65;"Марс (Mars)";"Средний бизнес"
66;"НПО Петухова Анисимов";"Малый бизнес"
67;"ООО Медведев Евсеев";"Малый бизнес"
68;"ЗАО Макарова Анисимова";"Средний бизнес"
69;"АО Сысоев Субботин";"Средний бизнес"
70;"Зыкова Групп";"Средний бизнес"
71;"ООО Артемьева";"Малый бизнес"
72;"ИП Авдеев Колесников";"Малый бизнес"
73;"ЗАО Абрамов Соболева";"Средний бизнес"
74;"ООО Беляков";"Малый бизнес"
75;"ЗАО Голубева";"Средний бизнес"
76;"АО Кулакова Гришин";"Малый бизнес"
77;"ЗАО Носков";"Малый бизнес"
78;"ЗАО Яковлева Поляков";"Малый бизнес"
79;"ООО Голубев";"Малый бизнес"
80;"Группа ЭПМ";"Малый бизнес"
81;"Воронцова Инк";"Малый бизнес"
82;"ООО Поляков-Дорофеева";"Малый бизнес"
83;"Гордеева Групп";"Средний бизнес"
84;"ГК ЕКС";"Средний бизнес"
85;"Компания Трасса";"Малый бизнес"
86;"ОАО Соловьева, Евсеева и Орехова";"Средний бизнес"
87;"ОАО Вишнякова, Ефимова и Медведева";"Малый бизнес"
88;"ЗАО Большакова, Кошелев и Кулакова";"Малый бизнес"
89;"НПО Аксенов, Ершов и Новиков";"Средний бизнес"
90;"Курганмашзавод";"Малый бизнес"
91;"НПО Стрелкова Емельянова";"Малый бизнес"
92;"РАО Александрова-Кириллова";"Малый бизнес"
93;"Ефремова и партнеры";"Малый бизнес"
94;"РАО Лыткин";"Средний бизнес"
95;"АвтоГермес";"Малый бизнес"
96;"ИП Герасимов";"Средний бизнес"
97;"АО Петухов Колобова";"Средний бизнес"
98;"Никонова Лимитед";"Средний бизнес"
99;"Полиметалл";"Средний бизнес"
100;"ЗАО Брагин-Куликов";"Средний бизнес"
101;"Муравьев Лимитед";"Средний бизнес"
102;"ИП Стрелкова, Денисова и Панфилов";"Малый бизнес"
103;"РАО Пономарева, Мишин и Щербаков";"Малый бизнес"
104;"АО Рябова-Князева";"Средний бизнес"
105;"ОАО Попова, Игнатьев и Осипова";"Малый бизнес"
106;"Гришина Лтд";"Средний бизнес"
107;"ОАО Доронина Федотов";"Малый бизнес"
108;"Филиппова Лимитед";"Средний бизнес"
109;"ОАО Федотов, Новиков и Бурова";"Средний бизнес"
110;"ИП Коновалов Жуков";"Малый бизнес"
111;"ИП Щукина Евсеев";"Средний бизнес"
112;"ООО Дорофеев-Давыдова";"Малый бизнес"
113;"АО Волков-Зайцев";"Малый бизнес"
114;"ИП Алексеева-Емельянов";"Средний бизнес"
115;"Лаборатория Касперского";"Средний бизнес"
116;"Ростелеком";"Средний бизнес"
117;"Исаков Лимитед";"Средний бизнес"
118;"ЗАО Ситникова";"Малый бизнес"
119;"Васильева Лимитед";"Средний бизнес"
120;"НПО Тимофеев";"Малый бизнес"
121;"НПО Игнатова Панов";"Малый бизнес"
122;"Леруа Мерлен Восток (Leroi Merlin)";"Средний бизнес"
123;"Ново-Уренгойская газовая компания";"Малый бизнес"
124;"ИП Смирнова, Никонов и Устинов";"Средний бизнес"
125;"ЗАО Казакова Чернов";"Средний бизнес"
126;"Стрелкова и партнеры";"Средний бизнес"
127;"РАО Моисеев-Тимофеев";"Малый бизнес"
128;"ИП Артемьев, Новикова и Яковлева";"Средний бизнес"
129;"РАО Лапин-Поляков";"Малый бизнес"
130;"Дементьева Лтд";"Малый бизнес"
131;"ИП Морозов Казаков";"Малый бизнес"
132;"ЗАО Куликова, Павлов и Гусев";"Малый бизнес"
133;"Филатова Инк";"Малый бизнес"
134;"РАО Федосеева";"Средний бизнес"
135;"ОАО Шубин Кулаков";"Малый бизнес"
136;"АО Ермакова Кириллова";"Средний бизнес"
137;"Nordgold";"Малый бизнес"
138;"ООО Петухов, Игнатьев и Матвеева";"Средний бизнес"
139;"АО Суханов";"Средний бизнес"
140;"НПО Фролов, Смирнова и Евдокимова";"Малый бизнес"
141;"Козлова Групп";"Малый бизнес"
142;"РАО Князева, Панфилова и Николаев";"Средний бизнес"
143;"ИП Савина-Калашников";"Малый бизнес"
144;"ООО Мишин Фомина";"Малый бизнес"
145;"Группа Стройтрансгаз";"Средний бизнес"
146;"РАО Мартынова-Рожков";"Малый бизнес"
147;"ЗАО Герасимов Большаков";"Средний бизнес"
148;"ИП Егорова";"Малый бизнес"
149;"ОАО Сергеева-Соболева";"Малый бизнес"
150;"Назаров Инкорпорэйтед";"Средний бизнес"
151;"ООО Рыбакова Силин";"Средний бизнес"
152;"НПО Бобылев, Ильин и Веселова";"Малый бизнес"
153;"Савельев Лтд";"Средний бизнес"
154;"ЗАО Морозов Сафонов";"Малый бизнес"
155;"ИП Селезнева, Самойлов и Зыкова";"Малый бизнес"
156;"Энергосбытовая компания Восток";"Малый бизнес"
157;"ИП Овчинникова";"Малый бизнес"
158;"АО Казаков, Игнатьев и Бобылева";"Малый бизнес"
159;"ООО Суворова Фомина";"Малый бизнес"
3867;"Аргос";"Малый бизнес"
160;"Крылов Групп";"Малый бизнес"
161;"ООО Евсеева, Константинов и Киселев";"Малый бизнес"
162;"НПО Михеева";"Средний бизнес"
163;"НПО Орлов Дмитриева";"Средний бизнес"
164;"РАО Чернов-Попов";"Малый бизнес"
165;"ОАО Федорова";"Средний бизнес"
